87,Inc5000 Company List,87,25892,87,2,Meister Cook,IN,Fort Wayne,Fort Wayne IN,3943.00,7707138.00,Business Products & Services,1
88,Inc5000 Company List,88,22933,88,150,TUNE,WA,Seattle,Seattle,3939.48,18904275.00,Advertising & Marketing,2
89,Inc5000 Company List,89,25880,89,28,Constructure Management,PA,Malvern,Philadelphia,3929.46,33167746.00,Construction,1
90,Inc5000 Company List,90,25212,90,14,Pendo Management Group,MO,Lee's Summit,Kansas City MO-KS,3877.87,8471671.00,Real Estate,1
91,Inc5000 Company List,91,25460,91,45,Gemini Consulting & Services,MO,St. Louis,St. Louis MO-IL,3869.77,6469651.00,IT Services,1
92,Inc5000 Company List,92,22952,92,764,Next Step Living,MA,Boston,Boston,3859.66,58009000.00,Energy,2
93,Inc5000 Company List,93,25047,93,26,FastPay,CA,Beverly Hills,Los Angeles,3824.87,5061986.00,Financial Services,1
94,Inc5000 Company List,94,26166,94,6,Early Upgrade,FL,Jacksonville,Jacksonville FL,3745.69,18068816.00,Consumer Products & Services,1
95,Inc5000 Company List,95,25745,95,90,Yochana IT Solutions,MI,Farmington Hills,Detroit,3694.03,5637285.00,IT Services,1
96,Inc5000 Company List,96,25698,96,192,American Care Partners,VA,Falls Church,Washington DC,3656.79,6580396.00,Health,1
97,Inc5000 Company List,97,25126,97,10,Prepay Nation,PA,Berwyn,Philadelphia,3637.13,110914763.00,Financial Services,1
98,Inc5000 Company List,98,25287,98,115,PEG Bandwidth,TX,The Colony,Dallas,3612.77,32895443.00,Telecommunications,1
99,Inc5000 Company List,99,26456,99,108,Global Energy Efficiency,NY,Bronx,New York City,3588.58,12860765.00,Energy,1
100,Inc5000 Company List,100,26317,100,72,LaunchPoint,IL,Itasca,Chicago,3544.22,12899943.00,Health,1
101,Inc5000 Company List,101,24794,101,7,Equipatron,WI,Mequon,Milwaukee-Waukesha-West Allis WI,3543.10,5284863.00,Retail,1
102,Inc5000 Company List,102,25791,102,12,GovSmart,VA,Charlottesville,Charlottesville VA,3532.38,25433653.00,Computer Hardware,1
103,Inc5000 Company List,103,26531,103,90,The Clymb,OR,Portland,Portland OR,3531.55,64460000.00,Retail,1
104,Inc5000 Company List,104,26329,104,380,Alliance Health,UT,Salt Lake City,Salt Lake City,3490.21,85596581.00,Health,1
105,Inc5000 Company List,105,26379,105,100,Inkling,CA,San Francisco,San Francisco,3443.04,8149000.00,Software,1
