949,Inc5000 Company List,949,23391,949,92,Fingerpaint,Saratoga Springs,Albany-Schenectady-Troy NY,475.65,18680000,Advertising & Marketing,2,NY
967,Inc5000 Company List,967,17322,967,275,Thrillist Media Group,New York,New York City,465.56,83069000,Media,5,NY
977,Inc5000 Company List,977,25328,977,100,Silverline,New York,New York City,458.62,16098296,IT Services,1,NY
979,Inc5000 Company List,979,25607,979,73,Kanta Electric,Woodside,New York City,457.39,28221630,Construction,1,NY
983,Inc5000 Company List,983,25264,983,6,Fisher Wallace Laboratories,New York,New York City,455.37,2119497,Health,1,NY
984,Inc5000 Company List,984,25978,984,15,Motivate Design,New York,New York City,455.26,2060000,Business Products & Services,1,NY
994,Inc5000 Company List,994,26504,994,16,Grass Roots Meetings & Events,New York,New York City,452.53,4149496,Business Products & Services,1,NY
1008,Inc5000 Company List,1008,23235,1008,23,Largetail,New York,New York City,441.8,5120000,Advertising & Marketing,2,NY
1011,Inc5000 Company List,1011,26614,1011,8,Madécasse Chocolate,Brooklyn,New York City,440.59,2571053,Food & Beverage,1,NY
1012,Inc5000 Company List,1012,23108,1012,38,Ivy Exec,New York,New York City,439.62,3253393,Human Resources,2,NY
1047,Inc5000 Company List,1047,23459,1047,33,Imagine Easy Solutions,New York,New York City,425.4,6312029,Education,2,NY
1067,Inc5000 Company List,1067,25462,1067,16,Ypulse,New York,New York City,418.1,2953150,Business Products & Services,1,NY
1095,Inc5000 Company List,1095,25476,1095,121,KEMP Technologies,New York,New York City,405.72,24330000,Software,1,NY
1098,Inc5000 Company List,1098,24999,1098,8,Dorm Company,Cheektowaga,Buffalo-Niagara Falls NY,405.01,3973219,Retail,1,NY
1109,Inc5000 Company List,1109,26065,1109,30,Wafels & Dinges,New York,New York City,400.87,3022693,Food & Beverage,1,NY
1113,Inc5000 Company List,1113,25939,1113,13,Olollo,Brooklyn,New York City,398.61,2040830,Manufacturing,1,NY
1115,Inc5000 Company List,1115,25875,1115,24,ColoCrossing,Williamsville,Buffalo-Niagara Falls NY,397.11,5992662,IT Services,1,NY
1133,Inc5000 Company List,1133,20979,1133,143,Livestream,New York,New York City,389.68,25138134,Media,3,NY
1161,Inc5000 Company List,1161,25972,1161,8,Hover Networks,Buffalo,Buffalo-Niagara Falls NY,377.63,2115346,Telecommunications,1,NY
1174,Inc5000 Company List,1174,25318,1174,11,Skylight Group,New York,New York City,372.51,9062471,Real Estate,1,NY
1180,Inc5000 Company List,1180,25189,1180,18,TheRTAStore.com,Hopewell Junction,Poughkeepsie-Newburgh-Middletown NY,371.84,10049489,Retail,1,NY
1184,Inc5000 Company List,1184,26497,1184,79,RealMatch,New York,New York City,370,9308936,Business Products & Services,1,NY
1187,Inc5000 Company List,1187,22290,1187,28,Spicer Group,Buffalo,Buffalo-Niagara Falls NY,369.52,8873729,Construction,3,NY
1205,Inc5000 Company List,1205,22235,1205,42,Sub Rosa,New York,New York City,361.95,13073497,Advertising & Marketing,3,NY
1214,Inc5000 Company List,1214,25170,1214,41,MobileFuse,Manhasset,New York City,359.98,11264047,Advertising & Marketing,1,NY
1216,Inc5000 Company List,1216,26282,1216,15,Winterbridge Media,White Plains,New York City,359.37,9695241,Advertising & Marketing,1,NY
